step,mode,loss,angle_error(rad),distance(m),dataset(f),dataset(l),dataset(r)
56,training,0.022069277,0.004996902309358118,0.12300395262664619,17,13,13
57,training,0.022069277,0.017186757177114487,0.12300395262664619,17,13,13
58,training,0.022069277,0.037385118193924434,0.12300395262664619,17,13,13
59,training,0.022069277,0.08614042866975069,0.12300395262664619,17,13,13
60,training,0.027598307,0.03301524813286961,0.12300395262664619,18,14,14
61,training,0.027598307,0.0247247617226094,0.12300395262664619,18,14,14
62,training,0.027598307,0.020707375137135386,0.12755464533477848,18,14,14
63,training,0.027598307,0.008890638826414943,0.12755464533477848,18,14,14
64,training,0.027598307,0.05156409437768161,0.12755464533477848,18,14,14
65,training,0.022127215,0.07951331976801158,0.12755464533477848,19,15,15
66,training,0.024826625,0.09166824817657471,0.12755464533477848,20,16,16
67,training,0.023230974,0.15697469562292102,0.12755464533477848,21,16,16
68,training,0.013627532,0.11253345757722856,0.1114807111648461,22,17,17
69,training,0.018123237,0.07143601216375828,0.1114807111648461,23,18,18
70,training,0.024789263,0.1484115933999419,0.1114807111648461,24,18,18
71,training,0.028009951,0.14677825383841994,0.1114807111648461,25,18,18
72,training,0.024750939,0.1889557181857526,0.1114807111648461,26,18,18
73,training,0.024553264,0.16492088139057157,0.1114807111648461,27,18,18
74,training,0.031332407,0.14782234560698268,0.12076990013667882,28,18,18
75,training,0.026155792,0.13548500696197152,0.12076990013667882,29,18,18
76,training,0.026537472,0.12704893294721842,0.12076990013667882,30,18,18
77,training,0.019618753,0.1483591622672975,0.12076990013667882,31,18,18
78,training,0.015428968,0.1359657309949398,0.12076990013667882,32,18,18
79,training,0.018000955,0.10401250759605318,0.12076990013667882,33,18,18
80,training,0.021005033,0.08601590618491173,0.1510732093506218,34,19,19
81,training,0.022064373,0.06007811613380909,0.1510732093506218,35,20,20
82,training,0.03178942,0.05038195755332709,0.1510732093506218,36,21,21
83,training,0.027906224,0.03873512987047433,0.1510732093506218,37,22,22
84,training,0.027906224,0.043854390271008015,0.1510732093506218,37,22,22
85,training,0.027906224,0.03440103400498629,0.14844002985075025,37,22,22
86,training,0.027906224,0.10812179092317821,0.14844002985075025,37,22,22
87,training,0.023725891,0.10373358067590745,0.14844002985075025,38,22,22
88,training,0.029368566,0.08387846779078245,0.14844002985075025,39,23,23
89,training,0.024126237,0.06551431957632303,0.14844002985075025,40,24,24
90,training,0.02142619,0.07716329768300056,0.10433759175823883,41,25,25
91,training,0.010939672,0.0802469253540039,0.10433759175823883,42,26,26
92,training,0.035727628,0.04631728678941727,0.10433759175823883,43,27,27
93,training,0.035727628,0.03224274143576622,0.10433759175823883,43,27,27
94,training,0.035727628,0.04822373762726784,0.10433759175823883,43,27,27
95,training,0.035727628,0.0436933021992445,0.10433759175823883,43,27,27
96,training,0.035727628,0.037511198315769434,0.041276745996220256,43,27,27
